FID,Shape *,id,geometry_t,geometry_c,geometry_1,geometry_n,latitude,longitude,ri_service,timestamp,cce_availa,category,global_id,name,functional,type,ownership,ward_code,source,ward_name,lga_code,lga_name,state_code,state_name,alternate_,contact_ph,contact_na,cce_quanti,cce_lastup,accessibil
10,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d81,Point,6.542682,10.660289,geometry_type,10.660289,6.542682,Unknown,2018-09-25T14:34:41Z,Unknown,Primary Health Center,0c9c962d-a1e4-4746-b449-dc453d4bc0bb,Health Center Kungi,Functional,Primary,Others,KD0103,NPHCDA,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna, , , , , , 
11,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d7e,Point,6.545658,10.666228,geometry_type,10.666228,6.545658,Unknown,2018-09-25T14:24:35Z,Unknown,Private Clinic,02203a50-e42a-4995-86e2-6b273b305e17,Badamuwa Nursing Home,Unknown,Tertiary,Private,KD0103,eHA_Polio,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna, , , , , , 
12,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d7a,Point,6.529563,10.646801,geometry_type,10.646801,6.529563,Unknown,2018-09-25T14:34:41Z,Unknown,Primary Health Clinic,2284c6a6-b704-4854-95f4-a1b5f55e1bd0,Health Clinic Bugai,Functional,Primary,Others,KD0104,NPHCDA,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna, , , , , , 
13,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d75,Point,6.448883,10.658723,geometry_type,10.658723,6.448883,Unknown,2018-09-25T14:24:38Z,Unknown,Health Post,a41246dd-0e34-44c9-a8d7-eada65b4190e,Awaro Health Post,Unknown,Primary,Public,KD0104,eHA_Polio,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna, , , , , , 
14,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d6e,Point,6.426417,10.663637,geometry_type,10.663637,6.426417,Unknown,2018-09-25T14:24:33Z,Unknown,Primary Health Clinic,3909e3ec-2854-4397-bd10-6ecbb38c0f12,Rimi Clinic,Unknown,Primary,Public,KD0104,eHA_Polio,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna, , , , , , 
15,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d60,Point,6.538941,10.667977,geometry_type,10.667977,6.538941,Yes,2018-09-25T14:24:36Z,Unknown,Primary Health Clinic,b4503919-ac74-402e-8967-975821047dcb,Talle Memorial Nursing Andmaternity Home,Unknown,Primary,Public,KD0104,eHA_Polio,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna, , , , , , 
16,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d5b,Point,6.527362,10.648187,geometry_type,10.648187,6.527362,Unknown,2018-09-25T14:24:34Z,Unknown,Primary Health Center,2cef8932-3597-4876-8604-b7c02cf8978e,Bagoma Primary Health Center,Unknown,Primary,Public,KD0104,eHA_Polio,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna, , , , , , 
17,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d53,Point,6.474155,10.72256,geometry_type,10.72256,6.474155,Unknown,2018-09-25T14:24:35Z,Unknown,Primary Health Center,68cabe0d-3d8e-4141-8038-cb8dbac7e2ba,Magajin Gari Ii Health Center,Unknown,Primary,Public,KD0104,eHA_Polio,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna, , , , , , 
18,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d51,Point,6.536377,10.665455,geometry_type,10.665455,6.536377,Yes,2018-09-25T14:24:36Z,Unknown,Primary Health Clinic,418d4ba6-ad65-4954-8239-9c77fd7e4d0c,Al'umma Nursing Home And Maternityy,Unknown,Primary,Public,KD0104,eHA_Polio,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna, , , , , , 
19,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d49,Point,6.758539,10.929804,geometry_type,10.929804,6.758539,Unknown,2018-09-25T14:09:33Z,Unknown,Primary Health Center,6b62e12e-8e9b-4922-a74e-9f9da45b7bb7,Maganda Health Center,Unknown,Primary,State Primary HealthCare Development Agency,KD0105,eHA_Polio,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna, , , , , , 
20,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d45,Point,6.756377,10.928996,geometry_type,10.928996,6.756377,Unknown,2018-09-25T14:24:38Z,Unknown,Primary Health Clinic,3cdd1ea6-52ba-4ee7-ae2b-996a0f02ec9f,Maganda Primary Health Care,Functional,Primary,Public,KD0105,eHA_Polio,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna, , , , , , 
21,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d3b,Point,6.569663,11.006944,geometry_type,11.006944,6.569663,Unknown,2018-09-25T14:24:39Z,Unknown,Primary Health Center,fecaa0ca-9b25-4dbf-8b23-c6e7685f40b0,Goron Dutse Primary Health Center,Unknown,Primary,Public,KD0105,eHA_Polio,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna, , , , , , 
22,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d38,Point,6.57124,10.906827,geometry_type,10.906827,6.57124,Unknown,2018-09-25T14:24:33Z,Unknown,Primary Health Center,b7ef5fc3-1b5c-494f-9961-6f5d23ef8fdc,Gwaska Primary Health Center,Unknown,Primary,Public,KD0105,eHA_Polio,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna, , , , , , 
23,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d33,Point,6.900353,11.05466,geometry_type,11.05466,6.900353,Yes,2018-09-25T14:24:37Z,Unknown,Primary Health Center,3c6594ec-0fc3-48e1-bc3f-57343a42dd3e,Magajin Gari 3 Primary Health Center,Unknown,Primary,Public,KD0105,eHA_Polio,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna, , , , , , 
24,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d2f,Point,6.794642,11.086305,geometry_type,11.086305,6.794642,Yes,2018-09-25T14:24:33Z,Unknown,Primary Health Center,0a9753c1-39f7-4212-ab7c-b60c2c83ef6c,Magajin Gari Iii Health Center,Unknown,Primary,Public,KD0105,eHA_Polio,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna, , , , , , 
25,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d2d,Point,6.114944,10.537595,geometry_type,10.537595,6.114944,Yes,2018-09-25T14:24:32Z,Unknown,Health Post,407cccd1-6f9d-46f0-b3d5-d742276218a6,Ukuga Health Post,Functional,Primary,Public,KD0106,eHA_Polio,Randagi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
26,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d28,Point,6.190154,10.661214,geometry_type,10.661214,6.190154,Yes,2018-09-25T14:24:39Z,Unknown,Health Post,1fedaf22-168a-4306-9d03-43c81b9a4ffc,Kimbi Health Post,Functional,Primary,Public,KD0106,eHA_Polio,Randagi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
27,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d20,Point,6.193902,10.415334,geometry_type,10.415334,6.193902,Yes,2018-09-25T14:24:35Z,Unknown,Health Post,cb68d84f-01ce-4af4-a8c1-127889c97a5e,Kuki Health Post,Functional,Primary,Public,KD0106,eHA_Polio,Randagi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
28,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d1d,Point,6.274674,10.499608,geometry_type,10.499608,6.274674,Yes,2018-09-25T14:24:38Z,Unknown,Primary Health Center,08ddeca3-4923-4c76-8853-a753832f22eb,Kungi Primary Health Center,Functional,Primary,Public,KD0106,eHA_Polio,Randagi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
29,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d18,Point,6.216128,10.558658,geometry_type,10.558658,6.216128,Yes,2018-09-25T14:24:38Z,Unknown,Health Post,e730d2f3-9dad-4c05-927a-0f85dc3d00a0,Ijinga Health Post,Functional,Primary,Public,KD0106,eHA_Polio,Randagi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
30,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d12,Point,6.324485,10.560718,geometry_type,10.560718,6.324485,Yes,2018-09-25T14:24:39Z,Unknown,Primary Health Clinic,aa80578c-9e3f-4923-8a63-ca5892b6a22c,Dawakin Bassa Health Clinic,Functional,Primary,Public,KD0106,eHA_Polio,Randagi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
31,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d0a,Point,6.180888,10.606661,geometry_type,10.606661,6.180888,Unknown,2018-09-25T14:24:37Z,Unknown,Primary Health Center,c2e2679c-8e4f-48c6-9936-6dee3503e0a2,Randagi Kungi Primary Health Center,Unknown,Primary,Public,KD0106,eHA_Polio,Randagi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
32,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d07,Point,6.276391,10.552674,geometry_type,10.552674,6.276391,Unknown,2018-09-25T14:24:39Z,Unknown,Primary Health Clinic,83e4c232-0be7-4148-9406-415b02b856e5,Naserewa Health Clinic,Unknown,Primary,Public,KD0106,eHA_Polio,Randagi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
33,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5d04,Point,6.383888,10.558537,geometry_type,10.558537,6.383888,Unknown,2018-09-25T14:24:33Z,Unknown,Primary Health Clinic,a334061e-ab42-4b0d-be47-28d4401a9c2a,Ungwan Baduku Health Clinic,Unknown,Primary,Public,KD0106,eHA_Polio,Randagi,19001,Birnin Gwari,KD,Kaduna, , , , , , 
34,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5cff,Point,7.04509,11.068093,geometry_type,11.068093,7.04509,Unknown,2018-09-25T14:24:38Z,Unknown,Primary Health Center,4c8aac7e-fcfe-4f91-85c8-9bf9d0f3ede3,Kazagi Primary Health Center,Unknown,Primary,Public,KD0107,eHA_Polio,Damari,19001,Birnin Gwari,KD,Kaduna, , , , , , 
35,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5ce5,Point,7.13267,11.041421,geometry_type,11.041421,7.13267,Yes,2018-09-25T14:24:37Z,Unknown,Health Post,d02b62a5-689c-4377-9df9-d8e9c5606031,Funtua Badadi Health Post,Functional,Primary,Public,KD0108,eHA_Polio,Dogondawa,19001,Birnin Gwari,KD,Kaduna, , , , , , 
36,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5cbf,Point,6.786675,11.266839,geometry_type,11.266839,6.786675,Unknown,2018-09-25T14:24:39Z,Unknown,Primary Health Clinic,1ef002d8-3d4d-4869-90c2-52e43f654f1f,Ungwan Zakara Health Clinic,Unknown,Primary,Public,KD0110,eHA_Polio,Kuyello,19001,Birnin Gwari,KD,Kaduna, , , , , , 
37,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5cb7,Point,6.940699,11.194757,geometry_type,11.194757,6.940699,Yes,2018-09-25T14:24:36Z,Unknown,Primary Health Clinic,eac87010-68d3-4342-96fa-941bd332a314,Shado Health Clinic,Functional,Primary,Public,KD0110,eHA_Polio,Kuyello,19001,Birnin Gwari,KD,Kaduna, , , , , , 
38,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5caf,Point,6.990913,11.18057,geometry_type,11.18057,6.990913,Unknown,2018-09-25T14:24:32Z,Unknown,Primary Health Center,0489e5ae-4054-4e7a-b700-d7c45b329c62,Kuyello Health Center,Unknown,Primary,Public,KD0110,eHA_Polio,Kuyello,19001,Birnin Gwari,KD,Kaduna, , , , , , 
39,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5ca3,Point,6.860694,11.33111,geometry_type,11.33111,6.860694,Unknown,2018-09-25T14:24:36Z,Unknown,Primary Health Center,92af360f-fd3c-4cca-bef9-e9daa6e2b92e,Maikiyasuwa 1 Health Clinic,Unknown,Primary,Public,KD0111,eHA_Polio,Tabanni,19001,Birnin Gwari,KD,Kaduna, , , , , , 
40,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a33,Point,7.227391,10.257618,geometry_type,10.257618,7.227391,Unknown,2018-09-25T14:08:08Z,Unknown,Primary Health Center,a3071fc3-c85c-4ab1-80d5-ba854ed71181,Sunsunge Health Center,Unknown,Primary,Public,KD0202,eHA_Polio,Gwagwada,19002,Chikun,KD,Kaduna, , , , , , 
41,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a2f,Point,7.302584,10.284391,geometry_type,10.284391,7.302584,Yes,2018-09-25T14:25:31Z,Unknown,Primary Health Clinic,aa62a6e8-1f08-44c1-9373-c248bf4012fb,Bakin Kasuwa Health Clinic,Functional,Primary,Public,KD0202,eHA_Polio,Gwagwada,19002,Chikun,KD,Kaduna, , , , , , 
42,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a29,Point,7.188262,10.309466,geometry_type,10.309466,7.188262,Yes,2018-09-25T14:25:28Z,Unknown,Primary Health Clinic,bee4f885-ce01-418b-8bbb-b73e9b9b04f7,Unguwan Turai Clinic,Functional,Primary,Public,KD0202,eHA_Polio,Gwagwada,19002,Chikun,KD,Kaduna, , , , , , 
43,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a26,Point,7.15999,10.19439,geometry_type,10.19439,7.15999,Yes,2018-09-25T14:24:29Z,Unknown,Primary Health Clinic,c9197250-40c9-4ab9-a9bd-d3ecf3594694,Kajari Clinic,Functional,Primary,Public,KD0202,eHA_Polio,Gwagwada,19002,Chikun,KD,Kaduna, , , , , , 
44,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a1a,Point,7.401937,10.428825,geometry_type,10.428825,7.401937,Unknown,2018-09-25T14:25:27Z,Unknown,Primary Health Clinic,d5f671b8-ec73-4397-a619-5b557248a421,Adonai Medical Center Clinicandmaternity,Unknown,Primary,Public,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
45,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a16,Point,7.455704,10.385283,geometry_type,10.385283,7.455704,Yes,2018-09-25T14:25:26Z,Unknown,Primary Health Center,557218dd-2312-479d-9336-60befba819b6,Kakau Daji Primary Health Center,Functional,Primary,Public,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
46,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a11,Point,7.516141,10.33825,geometry_type,10.33825,7.516141,Unknown,2018-09-25T14:34:41Z,Unknown,Primary Health Center,98e491b1-6cb7-400a-b640-bbd0e303f96a,Primary Health Center Kamkomi,Functional,Primary,Others,KD0203,NPHCDA,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
47,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a0c,Point,7.394646,10.428531,geometry_type,10.428531,7.394646,Unknown,2018-09-25T14:25:38Z,Unknown,Private Clinic,720e5313-8673-4598-908e-335cf69e54eb,Shalom Hospital Gonin Gora Kaduna,Unknown,Tertiary,Private,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
48,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a08,Point,7.407603,10.414335,geometry_type,10.414335,7.407603,Unknown,2018-09-25T14:34:39Z,Unknown,Private Clinic,bff31adf-ae47-4c39-8532-c74e4021d78c,Adonai Medical Center,Functional,Primary,Others,KD0203,NPHCDA,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
49,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-5a04,Point,7.395263,10.374951,geometry_type,10.374951,7.395263,Unknown,2018-09-25T14:25:29Z,Unknown,Primary Health Center,f7b77b21-8826-4396-9c8e-2c1d428c6bd3,Safiya Medical Center,Unknown,Primary,Public,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
50,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59fe,Point,7.405843,10.407762,geometry_type,10.407762,7.405843,Unknown,2018-09-25T14:46:34Z,Unknown,Unknown,824ed557-ed8f-43f4-ba3d-444075d7a1a3,Zaitun Clinic Buwaya,Unknown,Primary,Public,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
51,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59fb,Point,7.319846,10.485731,geometry_type,10.485731,7.319846,Unknown,2018-09-25T14:25:37Z,Unknown,Health Post,3b5faef9-23e1-42d5-a540-b5502fc52868,Layi Health Dispensary,Functional,Primary,Public,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
52,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59ed,Point,7.52166,10.335361,geometry_type,10.335361,7.52166,Yes,2018-09-25T14:25:29Z,Unknown,Primary Health Clinic,14aeb6af-9ea1-4f83-a2e5-c7ad2df59d48,Kankomi Health Clinic,Functional,Primary,Public,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
53,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59e9,Point,7.454625,10.342051,geometry_type,10.342051,7.454625,Unknown,2018-09-25T14:25:33Z,Unknown,Health Post,9f97ea04-79a0-40db-bb90-8dcc9a7b5612,Unguwar Ayaba Dispensary,Functional,Primary,Public,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
54,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59e5,Point,7.40709,10.40482,geometry_type,10.40482,7.40709,Unknown,2018-09-25T14:08:10Z,Unknown,Primary Health Clinic,d121a9b0-6a65-4399-a8b9-e074b33df242,Buwaya Health Clinic,Unknown,Primary,State Primary HealthCare Development Agency,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
55,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59e0,Point,7.401834,10.431226,geometry_type,10.431226,7.401834,Yes,2018-09-25T14:25:17Z,Unknown,Primary Health Center,c30ff28f-8907-42cc-98eb-a341ec51437e,Gonin Gora Primary Health Center,Functional,Primary,Public,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
56,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59dd,Point,7.385151,10.316808,geometry_type,10.316808,7.385151,Unknown,2018-09-25T14:25:27Z,Unknown,Primary Health Center,a9a47e73-4996-4518-b985-e54dee2ff3ae,Sabon Gayan Primary Health Center,Functional,Primary,Public,KD0203,eHA_Polio,Kakau,19002,Chikun,KD,Kaduna, , , , , , 
57,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59d9,Point,7.615971,10.528446,geometry_type,10.528446,7.615971,Yes,2018-09-25T14:25:29Z,Unknown,Primary Health Clinic,8a0d51d8-b6ce-41ca-81df-c939fcc7f428,Tokache Health Clinic,Functional,Primary,Public,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
58,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59d3,Point,7.650811,10.480873,geometry_type,10.480873,7.650811,Yes,2018-09-25T14:25:35Z,Unknown,Primary Health Center,0f5e152a-c711-4ffa-bcb2-c5c4e08db9a3,Rural Hospital Kujama,Functional,Primary,Public,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
59,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59ce,Point,7.548814,10.347705,geometry_type,10.347705,7.548814,Unknown,2018-09-25T14:25:40Z,Unknown,Primary Health Clinic,ea22666a-25ed-4bb4-9dec-c2b86e28b503,Kakau Health Clinic,Unknown,Primary,Public,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
60,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59ca,Point,7.631966,10.476299,geometry_type,10.476299,7.631966,Unknown,2018-09-25T14:25:26Z,Unknown,Private Clinic,48e64c59-e4f3-4a28-91d4-7237794006ca,Ab Nasara Nursing Home And Maternity,Unknown,Primary,Public,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
61,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59c5,Point,7.63348,10.48022,geometry_type,10.48022,7.63348,Unknown,2018-09-25T14:25:15Z,Unknown,Primary Health Clinic,04d4b91a-bf5b-4849-b30c-f3db351a8bfd,Salvation Health Clinic,Unknown,Primary,Public,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
62,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59c1,Point,7.637085,10.478271,geometry_type,10.478271,7.637085,Yes,2018-09-25T14:25:33Z,Unknown,Primary Health Center,01be02a2-017c-4fa8-9363-fb56394936c5,Salama Clinic,Unknown,Primary,State Primary HealthCare Development Agency,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
63,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59bd,Point,7.634277,10.478271,geometry_type,10.478271,7.634277,Unknown,2018-09-25T14:25:20Z,Unknown,Primary Health Clinic,948a756c-01ed-4777-99e1-80bd08858013,Sauki Clinic,Unknown,Primary,State Primary HealthCare Development Agency,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
64,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59b9,Point,7.528778,10.554472,geometry_type,10.554472,7.528778,Yes,2018-09-25T14:25:36Z,Unknown,Primary Health Center,0a4dbb73-db94-4afb-848f-c83cef21aa6a,Doka Primary Health Center,Functional,Primary,Public,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
65,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59b1,Point,7.638295,10.477357,geometry_type,10.477357,7.638295,Unknown,2018-09-25T14:25:39Z,Unknown,Private Clinic,3bab897f-0236-4f3f-af79-b694bc7dea71,Bennatu Taimako Clinic And Nursing Home,Unknown,Tertiary,Private,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
66,Point,sv_fc_healthcare_facilities.fid-65d4c550_169d91ba9ce_-59ad,Point,7.636726,10.478306,geometry_type,10.478306,7.636726,Unknown,2018-09-25T14:25:22Z,Unknown,Private Clinic,bc3cade2-3cde-48ff-8f36-5c2e404f025e,Salvation Clinic Tudun Wada,Unknown,Primary,Public,KD0204,eHA_Polio,Kujama,19002,Chikun,KD,Kaduna, , , , , , 
